"Metoph Architects & Interiors","","","REVISED INTERIOR ESTIMATE FOR MS.RINKI SINGH,                                                                             SECT-132,GR.NOIDA  (07/10/2023)","","","","","","","","",""
"","","","","","","","","","","","",""
"(F)","32 MM DIA","MTRS.","","525.00","0.00","0","","","","","",""
"(I)","32 MM DIA","MTRS.","","495.00","0.00","0","","","","","",""
"","","","","","","0","","","","","",""
"","","","","","","0","","","","","",""
"","","","","","","0","","","","","",""
"","","","","","","0","","","","","",""
"","","","","","","0","","","","","",""
"","","","","","","0","","","","","",""
"","","","","","","0","","","","","",""
"","","","","","","0","","","","","",""
"","","","","","","0","","","","","",""
"","","","","","","0","","","","","",""
"","","","","","","0","","","","","",""
"","","","","","","0","","","","","",""
"","","","","","","0","","","","","",""
"","","","","","","0","","","","","",""
"","","","","","","0","","","","","",""
"","","","","","","0","","","","","",""
"9","MS door frame 1200x2100 door capable of accommodating fire hose reel, landing valve, hose pipes, fittings & accessories. The door shall have a front glass with lock and key arrangement & shall be painted with post office red colour (approval shall be taken on the basis of submitted sample before ordering) Cost of fire extinguishers not included in item rate. (Liasioing with civil contractor for making 1200x600x2100 Recessed type mansoary box (by civil contractor).","Each","5","11500.00","57500.00","661250000","","","","","",""
"","","","","","0.00","0","","","","","",""
"","","","","","","0","","","","","",""
"","","","","","","0","","","","","",""
"","","","","","","0","","","","","",""
"","","","","","","0","","","","","",""
"","","","","","","0","","","","","",""
"(E)","80mm   bore","EACH","0","3950.00","0.00","0","","","","","",""
"(F)","50mm   bore","EACH","0","2450.00","0.00","0","","","","","",""
"","","","","","","0","","","","","",""
"13B","Providing & fixing cast iron Butter Fly Value Complete with MS flange nuts and bolts rubber insertion as required ISI make.                                                                                                                                                                                                                                                                                                       (Make : Kartar/ Zoloto).","","","","","","","","","","",""
"","250 mm  bore","EACH","1","12550.00","12550.00","157502500","","","","","",""
"","200 mm  bore","EACH","1","9050.00","9050.00","81902500","","","","","",""
"a","65mm   bore","","per  pcs","1","3725","3725","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"13C","P/F S.S Flexable Pipe 1000mm For Srinklers Pipe Adjust Ceiling Lable as Per Direction with Accessories Complete in all respect.                                                                                                                                                                                                                                                                                                                                                             (Make-H.D/ Tyco)","","per  pcs","18","2695","48510","","","","","",""
"17","Providing & fixing mechanical foam type fire extinguisher 9 ltrs. (ISI marked. (Make: Guarsd / Safe Guards/ Life Guards/ Lightex/ Superex/ Safex).","EACH","per  pcs","2875.00","#VALUE!","#VALUE!","","","","","",""
"","","","per  pcs","","#VALUE!","#VALUE!","","","","","",""
"","","","per  pcs","","#VALUE!","#VALUE!","","","","","",""
"18","Providing & fixing of water pressure gas type fire extinguishers of 6 ltr. Capacity complete with initial charges and ISI Marked. (Make: Guarsd / Safe Guards/ Life Guards/ Lightex/ Superex/ Safex).","EACH","per  pcs","2475.00","#VALUE!","#VALUE!","","","","","",""
"","","","per  pcs","","#VALUE!","#VALUE!","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","1 set of electric motor driven jockey pump(for sprinkler system)","","per  pcs","","#VALUE!","#VALUE!","","","","","",""
"","1 set of electric motor driven down comer pump","","per  pcs","","#VALUE!","#VALUE!","","","","","",""
"","630 AMP FP MCCB with flush mounting  square  CT operated  ammeter  with selector  switch,  Voltmeter  with selector  switch,  protective  fuses  and phase indicating lamps.","","per  pcs","","#VALUE!","#VALUE!","","","","","",""
"","Bus Bar :","","per  pcs","","#VALUE!","#VALUE!","","","","","",""
"","630 AMP TPN, 415 volt, 3 phase, 4 wire, 50 HZ electrolitic  high conductivity Copper with SMC / DMC supports, with colour coading and insulated by heat shrinkable  sleeves  and  clips  on  shrouds  for  joints.  The  current  density  of copper bus bar shall not exceed  1.25 amp/sqmm.","","per  pcs","","#VALUE!","#VALUE!","","","","","",""
"","Outgoings :","","per  pcs","","#VALUE!","#VALUE!","","","","","",""
"","1 no. 250 AMP TP MCCB with star delta starter of suitable HP for  main  fire pump    with   over   load   protection,   single   phase   preventor   complete   for automatic operation, selector switch for local/remote, auto/manual/off operation,  with  CT  operated  ammeter  with  selector  switch  and  indication lamps for ""On"" ""Off"" and ""Trip"" mounted on the cubicle door.","","per  pcs","","#VALUE!","#VALUE!","","","","","",""
"","1 no. 250 AMP TP MCCB with star delta starter of suitable HP for sprinkler pump    with   over   load   protection,   single   phase   preventor   complete   for automatic operation, selector switch for local/remote, auto/manual/off operation,  with  CT  operated  ammeter  with  selector  switch  and  indication lamps for ""On"" ""Off"" and ""Trip"" mounted on the cubicle door.","","per  pcs","","#VALUE!","#VALUE!","","","","","",""
"","1  no.  63  AMP  TP  MCCB  with  star  delta  starter  of  suitable  HP  for  jockey pump( for  fire  fighting)with  over  load  protection,  single  phase  preventor complete for automatic operation, selector switch for local/remote, auto/manual/off  operation, with CT operated ammeter with selector switch and indication lamps for ""On"" ""Off"" and ""Trip"" mounted on the cubicle door.","","per  pcs","","#VALUE!","#VALUE!","","","","","",""
"","1 no. 63 AMP  TP MCCB   25 KVA  with  star  delta  starter  of suitable  HP for jockey pump(for sprinkler system) with over load protection, single phase preventor  complete  for  automatic  operation,  selector  switch  for local/remote,  auto/manual/off  operation,  with  CT operated  ammeter  with selector  switch  and indication  lamps for ""On"" ""Off"" and ""Trip""  mounted  on the cubicle door.","","per  pcs","","#VALUE!","#VALUE!","","","","","",""
"","1 no. 63 AMP  TP MCCB   25 KVA  with  star  delta  starter  of suitable  HP for down   comer  pump   with  over  load  protection,   single   phase  preventor complete for automatic operation, selector switch for local/remote, auto/manual/off  operation, with CT operated ammeter with selector switch and indication lamps for ""On"" ""Off"" and ""Trip"" mounted on the cubicle door.","","per  pcs","","#VALUE!","#VALUE!","","","","","",""
"","1 nos. 250 AMP TP MCCB as spare","","per  pcs","","#VALUE!","#VALUE!","","","","","",""
"","1 nos. 63 AMP FP MCB as spare","","per  pcs","","#VALUE!","#VALUE!","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","#VALUE!","#VALUE!","","","","","",""
"25","P/F Terraces Pump Panel 16 Gauge Complete in all respect.","SET.","per  pcs","12500.00","#VALUE!","#VALUE!","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"(B)","3 core power cables 32.0 sq. mm","MTRS.","per  pcs","427.00","#VALUE!","#VALUE!","","","","","",""
"","","","per  pcs","","","0","","","","","",""
"26","Providing, laying, testing and commissioning of MS heavy Grade ERW pipes for underground applications confirming to IS: 1239 / IS : 3589 with necessary flanges and fittings such as elbows and as elbows and tees with a primer coat along with wrapping and coating of pipe PYPCOYE 4 mm thick conforming to IS:10221. If required excavation all the type soils refilling the trenches to same finish. Holidays test shall be curried out to check for proper workmanship on the laying of all underground piping.(MAKE ; PIPE COATE)","","per  pcs","","#VALUE!","#VALUE!","","","","","",""
"","a) 150 mm dia","MTRS","per  pcs","2575.00","#VALUE!","#VALUE!","","","","","",""
"","b) 100mm dia","MTRS","per  pcs","1897.00","#VALUE!","#VALUE!","","","","","",""
"","c)   80mm dia","MTRS","per  pcs","1305.00","#VALUE!","#VALUE!","","","","","",""
"","d)   50mm dia","MTRS","per  pcs","1095.00","#VALUE!","#VALUE!","","","","","",""
"","","","per  pcs","","#VALUE!","#VALUE!","","","","","",""
"13D","Providing & Fixing 15 mm dia gun metal (Pendent Type) sprinkle head with quartz bulb complete with all respect                                                                                                                                                                                                                                                                                                                                                  (Make : H.D/ Y- King / TYOCO)","","per  pcs","25","700","17500","","","","","",""
"23","Providing testing and commissioning of the installation control valve including with following fittings, (Make : Kirloskar).","","per  pcs","25","15625","390625","","","","","",""
"","150 mm dia sluice valve confirming to IS: 780","","per  pcs","25","15625","390625","","","","","",""
"","Automatic alarm valve with water motor gong","","per  pcs","25","15625","390625","","","","","",""
"","Pressure gauge, pressure switches and other miscellaneous valves and fitting as required including pipe drilling making goods as per standard specifications complete.","EACH","per  pcs","25","15625","390625","","","","","",""
"","","","per  pcs","25","15625","390625","","","","","",""
"","","","per  pcs","25","15625","390625","","","","","",""
"","","","per  pcs","25","15625","390625","","","","","",""
"","","","per  pcs","25","15625","390625","","","","","",""
"","","","per  pcs","25","15625","390625","","","","","",""
"","","","per  pcs","25","15625","390625","","","","","",""
"","","","per  pcs","25","15625","390625","","","","","",""
"23","Providing & fixing double flanged flexicon expansion joint with unit control of standard length as per maufacturers specs tested to a pressure of 20Kg/Sqcm including   rubber   gaskets,   flanges,   nuts,  bolts   and  washers   complete   as required.","","per  pcs","25","15625","390625","","","","","",""
"","200 mm dia","Each","per  pcs","25","15625","390625","","","","","",""
